"segmentLabels__BUILDING","segmentLabels__VALUE","segmentLabels__BUSINESS","segmentLabels__CHECKIN","segmentLabels__LOCATION","segmentLabels__FOOD","segmentLabels__CLEANLINESS","segmentLabels__ROOMS","segmentLabels__SERVICE","segmentLabels__NOTRELATED","annotatorId","ratingOverall","ratingRoom","author","hotelId","reviewId","ratingLocation","ratingCleanliness","ratingService","ratingBusiness","ratingValue","segmentLabels__OTHER","date","ratingCheckin","segments"
"","","","","x","","","","","","","","","","","","","","","","","","","","Bus #1 from the train station is most direct but #25 and #33 will get you there also."
"","","","","x","","","","","","","","","","","","","","","","","","","","This hotel is on the other side of the Piazza from the bus stop (caddy corner to the large statue at the archway of the Piazza)."
"","","","","","","","","","","","","","","","","","","","","","p","","","I would stay here again."
"","","","","","","","","","x","","","","","","","","","","","","","","","There is a wine bar called Nabucca on Via XXVII April, which had a nice spread of appetizers, complimentary with drinks."
"","","","","","","","","","x","","","","","","","","","","","","","","","They had a great wine selection from all over Italy."
"","","","","p","","","","","","","","","","","","","","","","","","","","Not a far walk to the Duomo, farther walk to Ufizzi but manageable if you like to walk."
"","","","","x","","","","","","","","","","","","","","","","","","","","All roads lead to the Duomo, it is hard to escape its gravity."
"","","","","","","","","","","","","","","","","","","","","","p","","","Have fun and stay at the San Gallo Palace."
"","","","","","","","","","","0","2","-1","dinibell","119658","119658:112","-1","-1","-1","-1","-1","x","Jan 16, 2007","-1","Okay As others have mentioned this is clearly a motel (on the order of"
"","p","","","ip","","p","p","","","","","","","","","","","","","","","","","Days inn or Super 8) and nothing more:Pros: clean, comfortable beds, off Polk with a great bagel shop and other nice shops and restaurants, easy 5 block walk to bus that takes you to Union Square in about 10 minutes, helpful hosts, priceCons: Air freshener in rooms -ewH!"
"","","","","n","","","n","","","","","","","","","","","","","","","","","had to bust open windows after room was cleaned, too far and ugly to walk to Chinatown or North Beach (they suggest that you walk through this filthy long tunnel to get there and if you don't its longer (and just as un-scenic), super noisy!!"
"","","","","","","","n","","","","","","","","","","","","","","","","","walls are made of paper!,"
"","","","","","n","","n","","","","","","","","","","","","","","","","","stomping people above us, loud car and nightclub noise outside, etc., etc.,continental breakfast served from 7:30-9am (never saw it - we're on vacation - who's getting up and out that early on the weekend??)"
"","p","","","","","p","","","","","","","","","","","","","","","n","","","I would recommend the place to anyone on a budget as you get a clean room for the money but I don't think I'd stay here again."
"","","","","","","","","","","1","5","5","oakhesd","89602","89602:195","5","5","5","5","5","p","Oct 20, 2006","5","really special This was our first time staying in this hotel one word covers it all"
"","","","","","","","","","","","","","","","","","","","","","ip","","","WOW ."
"","","","","","","","p","p","","","","","","","","","","","","","","","","The staff were very very helpful, the rooms were wonderful Will we return??"
"","","","","","","","","","","","","","","","","","","","","","ip","","","You bet we will soon as possible"
"","","","","","","","","","","2","2","1","A TripAdvisor Member","236065","236065:31","-1","2","3","-1","2","n","Jun 13, 2005","-1","Ladder with Carpet"
"","","","","","","","","","","","","","","","","","","","","","n","","","Lets get things straight, This place is great if you don鈥檛 mind some compromise.I stayed on the Top Floor (Third Floor) Room 12, which I must say had its advantage."
"","","","","","","","p","","","","","","","","","","","","","","","","",".On the good side :No People traipsing past your door when you eventually get back (My Room)."
"","","","","","","p","n","p","","","","","","","","","","","","","","","","It鈥檚 a RoomIt鈥檚 DryIt鈥檚 SecureThe people are friendly enoughIt鈥檚 CheepThe Sheets are cleanClean ToiletsOn the Bad Side :Three Single beds and a Matress in the roomIn need of decoration Beds look like they come from a prisonStairs are so steep near the top they are more like a carpeted ladder on steroids."
"","","","","","n","","","","","","","","","","","","","","","","","","","You can have breakfast and Drinks if you do it yourself and buy the ingredients."
"","","","","","","","","","","","","","","","","","","","","","n","","","The Shower just has a small shelf to put all your stuff on.Personally I will stay elsewhere next time I am over in the dam."
"","","","","p","","","","p","","0","4","3","Eiger20","542696","542696:0","5","3","5","-1","4","","Dec 31, 2008","5","Great location and service"
"","","","","","","","","","","","","","","","","","","","","","","","","My wife and I stayed at Casa Alta Vista for 2 nights in December."
"","p","","","","","","","","","","","","","","","","","","","","","","","Overall, the room was worth the price."
"","","","","","","","x","","","","","","","","","","","","","","","","","The room we had was small but had enough room for two people (assuming you aren't spending much time in the room)."
"","","","","","","x","x","","","","","","","","","","","","","","","","","The bathroom was sufficient and for the most part clean."
"","","","","","","","p","","","","","","","","","","","","","","","","","We actually had a spectacular view of the mountains from a small window in our shower (Rm #12)."
"","","","","","","","","p","","","","","","","","","","","","","","","","The service was excellent and we found that the staff went out of their way to accomodate us (make dinner reservations, give directions, taxi pick-up's, etc.)."
"p","","","","","","","","","","","","","","","","","","","","","","","","The rooftop deck has an amazing view and is great for lounging at night and for eating a quick breakfast (for cheap and easy breakfast go to La Dulce _____ panederia - walk one block towards ocean and make first left and then first right)."
"","","","","","","","p","","","","","","","","","","","","","","","","","We also had our own patio area where where we could hang wet clothes, snokel gear, etc. (seperate patio but not secluded from view of other rooms)."
"","","","","ip","","","","","","","","","","","","","","","","","","","","Esperanza main strip is only 5 min walk from hotel."
"","","","","","","","n","","","","","","","","","","","","","","","","","A few minor down sides were tin roof (we had 3rd floor room and heavy rains were LOUD), roosters making noise quite often (yes, even in middle of night), and rental charges for everything (bikes, towels, chairs, etc.)"
"","","","","","","","","","","","","","","","","","","","","","n","","","We rented bikes for $15/day from hotel but they were in pretty poor condition."
"","","","","","","","","","","","","","","","","","","","","","n","","","We were able to bike all the way to Blue Beach but it took an hour and was difficult since bikes were stuck in low gear."
"","","","","","","","","","","","","","","","","","","","","","","","","Be careful snorkeling at Red Beach."
"","","","","","","","","","","","","","","","","","","","","","","","","We swam out to island about 100 yds off shore only to realize that current on way in was very strong."
"","","","","","","","","","","","","","","","","","","","","","","","","I would not suggest doing this without fins unless you are VERY strong swimmer and even take caution with fins if you are a strong swimmer."
"","","","","","","","","","","","","","","","","","","","","","","","","Currents can be dangerous and ther are no warnings."
"","","","","","","","","","","","","","","","","","","","","","","","","Snorkeling really wasn't worth the effort."
"","","","","","","","","","","","","","","","","","","","","","","","","Note that if you plan to rent a car, many rental places have minimum 3 day rentals during high season."
"","","","","p","","","x","","","","","","","","","","","","","","","","","The small, basic rooms are made up for by the great location and roof top views."
"","","","","","","","","","","","","","","","","","","","","","p","","","The convenience store downstairs is nice to grab a snack or a 6-pack of beer."
"","p","","","","","","","","","","","","","","","","","","","","p","","","I'm guessing this is one of best accomadations near Esperanza for this price range."
"","","","","","","","","","","","","","","","","","","","","","","","","Our favorite beach was Blue Beach and Playa Luna."
"","","","","","","","","","","","","","","","","","","","","","","","","If you get there in teh morning you can easily have 300 yds of sand to yourself."
"","","","","","","","","","","","","","","","","","","","","","p","","","We loved the beaches on Vieques and the lack of crowds made it all the more wonderful."
"","","","","","","","","","","2","5","5","centrecourt","188975","188975:80","5","5","5","4","4","p","Oct 29, 2007","5","Dare I say ""Perfect""?"
"","","","","","","","","","","","","","","","","","","","","","","","","<"
"","","","","","","","","","","","","","","","","","","","","","x","","","Content>I've been to GV on four seperate occasions."
"","","","","","","","","ip","","","","","","","","","","","","","p","","","Each time I vist, they increasingly treat me like a king -- meeting me at my taxi/car whereupon four or five people greet me by name, escorting me to my (always upgraded room) via private elevator."
"","","","","","","","","","","","","","","","","","","","","","p","","","It's heaven."
"","","","","","","","","","","","","","","","","","","","","","p","","","And, if you are not wealthy, you should visit the cafe anyway."
"","","","","","","","","","","","","","","","","","","","","","p","","","Have an expensive coffee and pastry and soak in the sublime atmosphere."
"","","","","","","","","","","","","","","","","","","","","","p","","","For all the wealth that flows here, you will NOT feel out of place or of a lesser class."
"","","","","","","","","p","","","","","","","","","","","","","","","","Every guest is treated with near-honor."
"","","","","","","","","p","","","","","","","","","","","","","","","","Sure, there are hiccups from time to time, but just speak up -- they will apologize and go beyond in making things right."
"","","","","","","","","","","","","","","","","","","","","","p","","","Among the finest hotels in Paris -- and the world."
"","","","","","","","","","","2","4","3","pyramid111","112307","112307:158","4","3","3","4","4","p","Dec 31, 2006","3","Lots to recommend this hotel The"
"","","","","","","","","","","","","","","","","","","","","","p","","","Rex has a lot of positives."
"","","","","p","","","","","","","","","","","","","","","","","","","","It is well located, near Union Square with lots of shops and restaurants nearby."
"","","","","","","p","p","p","","","","","","","","","","","","","","","","The staff are friendly and the rooms, while small, are clean and well furnished."
"p","","","","","","","","","","","","","","","","","","","","","p","","","There is free wireless Internet access in the rooms and another nice touch is the free glass of wine served between 5 and 6 - this ensures the guests gravitate to the lounge and creates a warm, friendly atmosphere."
"","","","","","p","","","","","","","","","","","","","","","","","","","We had breakfast in the restuarant and it was good although there are plenty of other good restaurants and diners nearby."
"","","","","","","","n","","","","","","","","","","","","","","","","","The only fault we would find is in the lack of tea and coffee making facilities in the rooms."
"","p","","","","","","","","","","","","","","","","","","","","","","","All in all, a good value mid range hotel."
"","","","","","","","","","","0","3","3","A TripAdvisor Member","229063","229063:35","-1","3","2","-1","2","x","Dec 3, 2005","-1","Expected better Stayed with my wife and two teenage children for four nights."
"","","","","p","","","x","","","","","","","","","","","","","","","","","The hotel is well located and the renovated rooms were adequate in terms of size and amenities but I would not rate them 4 star."
"n","","","","","","","","","","","","","","","","","","","","","","","","Some areas of the hotel need upgrading."
"","","","","","","","","x","","","","","","","","","","","","","","","","We found the service variable, ranging from very helpful to down right rude and argumentative when we checked in having used a booking service instead of the hotel's direct system."
"","n","","","","","","","","","","","","","","","","","","","","","","","We found the dining options expensive even for a chain and considering the plethora of great places to eat within walking distance, I would recommend dining out.If you can secure a special rate and spend most of your time out and about, then the location will compensate for the hotel's downsides."
"","","","","","","","","","","","","","","","","","","","","","x","","","Otherwise I would look elsewhere."
"","","","","","","","","p","","0","4","4","dminner1","249487","249487:92","4","3","4","-1","4","p","Nov 24, 2007","4","Great place and great people..."
"","","","","","","","","","","","","","","","","","","","","","p","","","I really liked this place and will go back."
"","ip","","","","","","","","","","","","","","","","","","","","","","","You can find specials and packages on their website.."
"","","","","","x","","","","","","","","","","","","","","","","p","","","The drinks and the view at the bar on the roof are great, but the sushi was average."
"","","","","","","","","p","","","","","","","","","","","","","","","","The staff is awesome."
"p","","","","","","","n","","","2","1","2","Zreis  <Content>Liars.....Cheaters.....and Rude to boot.","85147","85147:151","4","2","1","1","1","","Jul 9, 2007","1","First and formost this hotel is a nice property, how ever the rooms are not at all as they tell on the website."
"","","","","","","","n","","","","","","","","","","","","","","","","","I booked a one bedroom (bedroom) being a key word there) Suite....It was not a suite by any defiinition."
"","","","","","","","n","","","","","","","","","","","","","","","","","It was a normal sized regular room with a pull down bed with a small divider in the middle of the beds."
"","","","","","","","n","","","","","","","","","","","","","","","","","THATS NOT A SUITE....THATS A LOAD OF CRAP."
"","","","","","","","n","","","","","","","","","","","","","","","","","I reserved a top floor suite with ocean veiw.....they put me on the first floor over looking a ton of screaming kids."
"","","","","","","","in","","","","","","","","","","","","","","","","","The room was supposed to have two TV's."
"","","","","","","","in","","","","","","","","","","","","","","","","","It had one."
"","","","","","","","in","","","","","","","","","","","","","","","","","When I called to ask about it, I was told that the was not the case and that the internet website does not have a second tv listed for the one bedroom suite....and low and behold...it does."
"","","","","","","","","","x","","","","","","","","","","","","","","","As I was on my first floor balcony smoking a ciggarette to calm my nerves from dealing with this, somone from a top floor decided to spit and hit me in the back on my head and my hand."
"","","","","","","","","","x","","","","","","","","","","","","","","","Imagine the anger."
"","","","","","","","","","x","","","","","","","","","","","","","","","You book a top floor, you get first floor, you booked a suite, and got a room...you go out to your balcony to relax...and someone from a top floor....(which you reserved) has just spit on the back of your head."
"","","","","","","","","","","","","","","","","","","","","","n","","","The hotels idea of compensasion was breakfast for two."
"","","","","","","","","","","","","","","","","","","","","","n","","","NOT A NEW ROOM, NOT A SUITE, NOT A TOP FLOOR...but breakfast."
"","","","","","","","","","","","","","","","","","","","","","n","","","Yay!"
"","","","","","","","","n","","","","","","","","","","","","","","","","After 2 hours of dealing with the floor manager (Matthew Sims) ..(If you ever have to deal with this man, go above him."
"","","","","","","","","n","","","","","","","","","","","","","","","","He will do nothing but smile in your face and tell you have a nice day after he has ruined it.)"
"","","","","","","","","","","","","","","","","","","","","","n","","","I decdied to find another hotel, at a higher rate, and after driving 4 hours on no sleep after working a 12 hour shift."
"","","","","","","","","","","","","","","","","","","","","","n","","","Seems like this would be the end of the nightmare right?"
"","","","","","","","","","","","","","","","","","","","","","n","","","WRONG!!!"
"","","","","","","","","","x","","","","","","","","","","","","","","","Two days after the ordeal with the Newport Beachside Resort I was on my way home, and decided to pull money out of my account for the turnpike home."
"","","","","","","","","","","","","","","","","","","","","","n","","","The NewPort Beachside Resort had put a charge hold on my debit card."
"","","","","","","","","","x","","","","","","","","","","","","","","","I had no money to get home!!!!!!!!!!!"
"","","","","","","","","","","","","","","","","","","","","","n","","","I called, and spoke with Matthew Sims once again just to be laughed at and told to have a nice day."
"","","","","","","","","","","","","","","","","","","","","","n","","","I decided that Mr. Sims would change his tune when he was confronted with this issue in person, and in front of other guests....I was wrong."
"","","","","","","","","","","","","","","","","","","","","","x","","","I watched Mr Sims."
"","","","","","","","","","","","","","","","","","","","","","n","","","(Newport Beachside Resort Manager) give a coupe the same line of crap that he gave to my girlfriend and I."
"","","","","","","","","","","","","","","","","","","","","","n","","","I was disgusted and appauled by his actions."
"","","","","","","","","","","","","","","","","","","","","","n","","","I was told by Mr. Sims that I should mind my own business to keep things civil I was told that Security would be called, and threatened with police."
"","","","","","","","","","","","","","","","","","","","","","n","","","The Police were called to the resort, and just so happens the Manager above Mr. Matthew Sims was standing at the front desk."
"","","","","","","","","","","","","","","","","","","","","","x","","","The other manager (Mr. Valdez) was very helpfull and helped me on my way."
"","","","","","","","","","","","","","","","","","","","","","n","","","However.....he charged my debit card a total of $484."
"","","","","","","","","","","","","","","","","","","","","","n","","","00 instead of giving me $140."
"","","","","","","","","","","","","","","","","","","","","","n","","","00 from the $343."
"","","","","","","","","","","","","","","","","","","","","","n","","","00 that they had already held from my bank account."
"","","","","","","","","","x","","","","","","","","","","","","","","","So on the way home I was once more reminded of my vacation stay at the Newport Beachside Resort when I had to be embarassed and use my high intrest credit card to pay for dinner."
"","","","","","","","","","","","","","","","","","","","","","n","","","This hotel ruined not only my weekend, but my vacation and the relaxation I hoped to get."
"","","","","","","","","","","","","","","","","","","","","","n","","","Imagine working a high stress, high liability job....only to go on vacation and deal with same type of people.I DO NOT RECOMEND ANYONE TO STAY AT THIS HOTEL!!!!!!!!"
"","","","","","","","","","x","","","","","","","","","","","","","","","Feel free to contact me via E-mailZacharias J ReisPba_fla@yahoo."
"","","","","","","","","","x","","","","","","","","","","","","","","","com"
"","","","","","","","","","","0","5","-1","A TripAdvisor Member","282300","282300:82","-1","-1","-1","-1","-1","ip","May 12, 2006","-1","Get it booked!"
"","","","","","","","","","","","","","","","","","","","","","p","","","Have just returned from a weekend in Barcelona with 12 girlfriends who all had a fantastic time at the H10 Marina."
"","","","p","","","","","p","","","","","","","","","","","","","","","","We found the staff (especially the reception and bar staff) extremely friendly."
"","","","p","","","","","p","","","","","","","","","","","","","","","","Our weekend got off to a bad start when one girl had her purse pinched on the metro (be very careful) but the reception staff were very helpful and told us exactly what we needed to do and where the police station was."
"","","","","","","","","ip","","","","","","","","","","","","","","","","They also gave her some vouchers for a couple of free drinks!"
"","","","","","","p","p","","","","","","","","","","","","","","","","","I read some negative reviews on here before our visit regarding the rooms - all our rooms were clean, spacious (they accommodated an extra bed in double rooms to make things cheaper), the air conditioning worked and the windows opened."
"x","","","","ip","","","","","","","","","","","","","","","","","","","","The roof top pool, ok is on the small side but the beach is only 5 minutes walk away if you need more water!"
"p","","","","","p","","","","","","","","","","","","","","","","","","","I really could not fault this hotel - the lobby and bar area is spacious and the breakfast had a wide range to suit all tastes."
"","","","","","","","","","","","","","","","","","","","","","p","","","I would have no hesitation in returning to this hotel."
"","","","","","","","","","","","","","","","","","","","","","","","","If I was to give one tip then take a taxi from the airport - we got the train and then the metro but had to make few changes along the way."
"","p","","","","","","","","x","","","","","","","","","","","","","","","Our minibus which the hotel booked for us returning to the airport only cost 55 euro's between 6 of us."
"","","","","","","","","","","2","5","5","A TripAdvisor Member","81177","81177:186","-1","5","5","-1","4","p","Dec 14, 2005","-1","Great place to stay"
"","","","","","","","","","","","","","","","","","","","","","x","","","We have now stayed at the Nob Hill Motor Inn three times and have been there several nights each time we were in San Franscisco."
"","","","","","","","","","","","","","","","","","","","","","p","","","We have never been disappointed."
"","","","","","","","","p","","","","","","","","","","","","","","","","The people who run this inn are very helpful, friendly, and resourceful."
"","","","","","","p","p","","","","","","","","","","","","","","","","","Our room has always been very clean, quiet, and comfortable."
"","","","","p","","","","","","","","","","","","","","","","","","","","It is located conveniently close to public transportation and we have always been given good directions at the front desk."
"","","","","","","","","","","","","","","","","","","","","","p","","","We definitely will go back the next time we visit the area."
"","","","","p","","","","","","2","4","4","Desirees","230112","230112:52","5","3","4","-1","-1","","Oct 2, 2006","4","unbeatable Location I had booked 3 rooms via"
"","","","","","","","x","","","","","","","","","","","","","","x","","","Priceline, and had then contacted the hotel directly asking if I could have the rooms close together."
"","","","","","","","x","p","","","","","","","","","","","","","","","","Rene Wildeman replied immediately and the reservations department got back to me letting me know they would try to put us together, and then offered us an upgrade for $31 per night per room."
"","","","","","","","x","","","","","","","","","","","","","","","","","We accepted it, and was glad we did since I saw a regular room later on and it was tiny."
"","","","","","","","in","","","","","","","","","","","","","","","","","I am pretty sure our luggage would not fit in there."
"","","","","ip","","","","","","","","","","","","","","","","","","","","We took the train from Schipol to Central Station and then walked the straight road to the hotel."
"","","","","ip","","","","","","","","","","","","","","","","","","","","It was about 7 mins away."
"","","","p","","","","p","","","","","","","","","","","","","","","","","Check in was prompt, the desk people were very friendly and the rooms were ok."
"","","","","","","","p","","","","","","","","","","","","","","","","","They were dark since they were in the back with no view at all but the size of the rooms were amazing."
"","","","","","","n","","","","","","","","","","","","","","","","","","I did not like the toiletries that came with the hotel however."
"","","","","","","n","","","","","","","","","","","","","","","","","","The shampoo felt like watered down laundry detergent."
"","","","","","","n","","","","","","","","","","","","","","","","","","I would recommend taking your own supply."
"","","","","","","","","","x","","","","","","","","","","","","","","","Also, a warning, be careful of what you sign up for as wireless internet."
"","","","","","","","","","x","","","","","","","","","","","","","","","We were told to open the internet page and follow instructions to sign up for internet."
"","","","","","","","","","x","","","","","","","","","","","","","","","Well, we turned on my laptop and Tmobile came up."
"","","","","","","","","","x","","","","","","","","","","","","","","","So we signed up for it, and lost signal right after that."
"","","","","","","","","","x","","","","","","","","","","","","","","","Turns out that was not what the hotel offered."
"","","","","","","","","","x","","","","","","","","","","","","","","","So, I will now have to dispute those charges since the connection was bad and I did not get access at all except for the first few mins it needed the credit card number."
"","","","","p","","","p","","","","","","","","","","","","","","","","","The beds were very comfortable, the toilet paper felt like sandpaper :)The location was unbeatable."
"","","","","ip","","","","","","","","","","","","","","","","","","","","It was in the middle of the tourist section."
"","","","","p","","","","","","","","","","","","","","","","","","","","After I saw where the Crowne Plaza and Marriott was located, I was glad I won the Red Leeow bid, since we like being in the center of touristy things and this was it."
"","","","","p","","","","","","","","","","","","","","","","","","","","The RDL was literally a block away, we could be there in about 5 mins."
"","","","","","","","","","x","","","","","","","","","","","","","","","Loved Extase coffee shop, people in Amsterdam were so so friendly I cant begin to say enough!"
"","","","","","","","","","x","","","","","","","","","","","","","","","Remember to buy water from the supermarket near Madame Tussauds, much cheaper than anywhere else."
"","x","","","","","","","","","","","","","","","","","","","","","","","We were charged city taxes of 5.66 euros per night per room."
"","","","","","","","","p","","","","","","","","","","","","","","","","Room service was quick and efficient."
"","","","","","","","","p","","","","","","","","","","","","","","","","Only once did we come back and see that housekeeping had kept a bag of trash on the bathroom sink and had forgotten to remove it, however someone came up in seconds after I called the front desk and had it cleared and kept on aplogizing."
"","","","","","ip","","","","","","","","","","","","","","","","","","","There was an electric kettle in the rooms with cups, coffees, teas, sugar and creamer."
"","","","","","","","n","","","","","","","","","","","","","","","","","The only thing I did not like was the absence of an iron in the room."
"","","","","","","","n","","","","","","","","","","","","","","","","","I was told we would need to go to the ironing room on the third floor to iron...which felt wierd."
"","","","x","","","","","","","","","","","","","","","","","","","","","We also asked if we could keep one room till about 1pm and check out from the other two rooms since our flight was at 5pm and we were planning to leave the hotel around 2pm."
"","","","","","","","","n","","","","","","","","","","","","","p","","","The desk agent was very quick to say no and it was abrupt, if the other agents had not been nice I would have had a problem with it.Anyway, it was a good hotel, not to be compared to a 4 star in the US but good...I would recommend the hotel but remember it might be a good idea to take the upgrade if offered and it is reasonable."
"","","","","","","","","n","","0","4","4","hcb10960","100586","100586:19","4","3","3","4","4","p","Aug 2, 2008","4","great experience except... ...for the concierge problem."
"","","","","","","","","","","","","","","","","","","","","","","","","More on that later."
"","","","","","","","","","","","","","","","","","","","","","","","","We actually stayed at this W twice in ten days."
"","","","","","","","","","","","","","","","","","","","","","","","","Our stays bookended a trip to SF.When we first arrived the cab dropped us at the restaurant entrance not the main entrance."
"","","","p","","","","","","","","","","","","","","","","","","","","","When we got to the bottom of the staircase leading to check-in the bellman could not have been nicer."
"","","","ip","","","","","","","","","","","","","","","","","","","","","He got an extra guy to help with all of our gear."
"","","","p","","","","p","","","","","","","","","","","","","","","","","Both check ins were smooth, staff lovely, room was great."
"","","","ip","","","","","","","","","","","","","","","","","","","","","The second check-in was particularly nice, as one of the young ladies behind the desk made a special point to welcome my son back to the hotel with a high five and It's great to see you again."
"","","","","","","","","","","","","","","","","","","","","","","","","Went a long way."
"","","","","","","","","","","","","","","","","","","","","","","","","We had a view of Mt. Rainier the first leg, lower down the second."
"","","","","","","","","p","","","","","","","","","","","","","","","","Room service during both stays was excellent."
"p","","","","","p","","","","","","","","","","","","","","","","","","","The lobby was lovely to hang out in, the restaurant was very, very good."
"","","","","","","","","n","","","","","","","","","","","","","","","","To the concierge problem...we dealt with three concierges during our stays."
"","","","","","","","","x","","","","","","","","","","","","","","","","Two of which were fine, one simply didn't do his job or meet our requests."
"","","","","","","","","n","","","","","","","","","","","","","","","","First, he was on his cell phone at the concierge desk and seemed annoyed that we interrupted him."
"","","","","","","","","","","","","","","","","","","","","","","","","We wanted to make dinner reservations for two nights and asked whether we needed reservations for a third restaurant."
"","","","","","","","","","","","","","","","","","","","","","","","","It was early in the day, he said the first two would not be open, but would make the reservations later and noted it on the computer."
"","","","","","","","","","","","","","","","","","","","","","","","","He then said we did not need reservations at the third."
"","","","","","","","","","","","","","","","","","","","","","","","","That was that, thanks!,"
"","","","","","","","","in","","","","","","","","","","","","","","","","and we were on our way.Later that evening, we arrived at the 'no reservation' restaurant to discover a two hour wait for a table of three and Oh no, we ALWAYS recommend reservations."
"","","","","","","","","in","","","","","","","","","","","","","","","","Hmmm, basic info a concierge should know."
"","","","","","","","","","","","","","","","","","","","","","","","","We walked back to the hotel to check on the other reservations with the evening concierge."
"","","","","","","","","","","","","","","","","","","","","","","","","Neither had been made."
"","","","","","","","","ip","","","","","","","","","","","","","","","","He was very apologetic and expressed that this had been a problem for a number of guests that day."
"","","","","","","","","ip","","","","","","","","","","","","","","","","He took care of the reservations and found us another place to eat that evening."
"","","","","","","","","x","","","","","","","","","","","","","","","","Despite the intitial problem, it was dealt with in a more than satisfactory way and we would absolutely stay there again."
"","p","","","p","","","","","","1","4","4","A TripAdvisor Member","81444","81444:144","-1","5","4","-1","5","","Sep 3, 2005","-1","A great value in a prime location"
"","","","","","","","","","","","","","","","","","","","","","","","","We were staying at the Pan Pacific for our anniversary and booked our trip through priceline."
"","ip","","","","","","","","","","","","","","","","","","","","","","","According to the Pan Pacific's rates, the cheapest room in the place is $340 per night, but we found a great all-inclusive deal that averaged out to about $100 per night."
"","","","","","","","","p","","","","","","","","","","","","","","","","The service was above average, but not as excellent as all of the reviews that I had read."
"","","","p","","","","","p","","","","","","","","","","","","","","","","The staff was friendly and helpful, especially at the concierge desk."
"","","","","","","","","in","","","","","","","","","","","","","","","","After a long travel day, our room wasn't ready when we arrived, and it took a little prompting on my part to speed up the process - which I shouldn't have to do."
"","","","","","","","","","","","","","","","","","","","","","p","","","Everything else was extremely positive after that, though."
"","","","p","","","","","","","","","","","","","","","","","","","","","The concierge was very helpful in booking us a rental car."
"","","","","","","p","p","","","","","","","","","","","","","","","","","The room was very clean and nicely decorated."
"","","","","","","","x","","","","","","","","","","","","","","","","","It's not a huge room, but we weren't in our room very often anyways."
"","","","","","","","in","","","","","","","","","","","","","","","","","Another note about the room - the street noise is pretty loud at times; I woke to the sounds of bottles being dumped into a bin from the lounge across the street and the ambulance/police sirens a few times as the windows are single-paned and don't keep out sound very well."
"p","","","","","","","","","","","","","","","","","","","","","","","","The workout room on the 5th floor was nice, and it seemed to be getting regular use from the hotel guests."
"p","","","","","","","","","","","","","","","","","","","","","","","","It was maintained very well."
"","","","","","","","","","","","","","","","","","","","","","","","","We didn't eat at the restaurant, and it didn't look as though it received a lot of business."
"","","","","","x","","","","","","","","","","","","","","","","","","","The menu looked great, but was pricey."
"","","","","","","p","","","","","","","","","","","","","","","","","","Housecleaning was fantastic!"
"","","","","","","ip","","","","","","","","","","","","","","","","","","They really did a nice job each day on our room."
"","","","","ip","","","","","","","","","","","","","","","","","","","","The Pan Pacific is convenient for getting on the bus line and trolley lines."
"","","","","ip","","","","","","","","","","","","","","","","","","","","Most lines were 1-3 blocks away."
"ip","","","","","","","","","","","","","","","","","","","","","","","","Finally, I liked the 3rd floor lobby."
"","","","","","","","","","","","","","","","","","","","","","","","","It was a good choice for placing the lobby, as we didn't have to walk through crowds to get to our room."
"","","","","","","","","","","","","","","","","","","","","","","","","We could just bypass all of that with the elevator."
"p","","","","","","","","","","","","","","","","","","","","","","","","By the way - the glass elevators are a nice touch!"
"","","","","","","","","","","","","","","","","","","","","","","","","We will definitely stay at the Pan Pacific again."
"","","","","","","","","","","","","","","","","","","","","","","","","We encountered many other tourists at different SF sights asking us where we were staying, and they said that we were lucky to be there because of the reputation of the place."
"","","","","","","","","","","","","","","","","","","","","","","","","Plus, many others weren't enamored with their accomodations."
"","","","","","","","","","","","","","","","","","","","","","","","","That felt good to know that on our first trip, we hit it on the mark with our hotel choice!"
"","","","","","","","","","","0","1","1","shatiyask","268641","268641:11","3","1","1","1","1","n","Oct 27, 2006","1","Never Again!"
"","","","","","","","","","","","","","","","","","","","","","","","","I booked a room at the"
"","","","","","","","","","","","","","","","","","","","","","n","","","Elpalacio for my vacation as a getaway, big mistake."
"","","","","","","","n","","","","","","","","","","","","","","","","","Problem #1, the remote control for the television did not work."
"","","","","","","","","in","","","","","","","","","","","","","","","","They finally responded to the problem 3 hours later and offered to switch my room, which was not an opinion because I had already unpacked."
"","","","","","","n","","","","","","","","","","","","","","","","","","Problem #2 when I went to turn on the AC I noticed that there where ants crawling on top of the unit."
"","","","","","","","","in","","","","","","","","","","","","","","","","Problem #3 At about 9:45am housekeeper enter my room while I was in bed."
"","","","","","","","","","","","","","","","","","","","","","","","","When she noticed I was there she ran out of the room."
"","","","","","","","","","","","","","","","","","","","","","","","","I recieved a knock at my door around 11:00am by another housekeeping to clean the room."
"","","","","","","","","","","","","","","","","","","","","","","","","I then asked the housekeeper if she could give me 5 minutes, because I was on my way out and she said yes."
"","","","","","","","","in","","","","","","","","","","","","","","","","When I exited the room, she appeared to be entering the room to clean, but when I returned at 2:30pm the room was still in the same condition which made me angry because I had returned to the room to rest."
"","","","","","","","","","","","","","","","","","","","","","","","","I immediately came out and approached another housekeeper, who informed that she was sending someone right away."
"","","","","","","","","n","","","","","","","","","","","","","","","","I waited for another 45 minutes, still no one."
"","","","n","","","","","","","","","","","","","","","","","","","","","I then went to the front desk where a gentleman gave me, the guest, directions to housekeeping so that I could inquire on my behalf because he was too busy on the phone."
